Player,Team,Type,M,Inn,NO,Runs,HS,Avg,BF,SR,4s,6s,50,100,200
Olly Stone,England,Test,1,2,0,19,19,9.5,29,65.52,4,0,0,0,0
Reece Topley,England,Test,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Jordan,England,Test,8,11,1,180,35,18,320,56.25,24,1,0,0,0
Darren Bravo,West-Indies,Test,56,102,4,3538,218,36.1,7886,44.86,405,41,17,8,1
Chris Gayle,West-Indies,Test,103,182,11,7215,333,42.19,11970,60.28,1046,98,37,15,3
Evin Lewis,West-Indies,Test,0,0,0,0,0,0,0,0,0,0,0,0,0
Shimron Hetmyer,West-Indies,Test,16,30,0,838,93,27.93,1138,73.64,85,27,5,0,0
Fabian Allen,West-Indies,Test,0,0,0,0,0,0,0,0,0,0,0,0,0
Jason Holder,West-Indies,Test,45,79,13,2115,202,32.05,3603,58.7,250,36,9,3,1
Andre Russell,West-Indies,Test,1,1,0,2,2,2,9,22.22,0,0,0,0,0
Carlos Brathwaite,West-Indies,Test,3,5,1,181,69,45.25,284,63.73,12,7,3,0,0
Shai Hope,West-Indies,Test,34,64,3,1603,147,26.28,3792,42.27,190,6,5,2,0
Nicholas Pooran,West-Indies,Test,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheldon Cottrell,West-Indies,Test,2,4,0,11,5,2.75,24,45.83,1,0,0,0,0
Shannon Gabriel,West-Indies,Test,50,75,27,207,20,4.31,586,35.32,26,5,0,0,0
Kemar Roach,West-Indies,Test,60,97,20,907,41,11.78,2348,38.63,106,9,0,0,0
Ashley Nurse,West-Indies,Test,0,0,0,0,0,0,0,0,0,0,0,0,0
Oshane Thomas,West-Indies,Test,0,0,0,0,0,0,0,0,0,0,0,0,0
Faf du Plessis,South-Africa,Test,67,114,14,4108,199,41.08,8873,46.3,507,21,21,10,0
David Miller,South-Africa,Test,0,0,0,0,0,0,0,0,0,0,0,0,0
Aiden Markram,South-Africa,Test,22,40,1,1533,152,39.31,2408,63.66,219,7,7,4,0
Rassie van der Dussen,South-Africa,Test,6,10,0,356,98,35.6,819,43.47,48,3,4,0,0
Jean-Paul Duminy,South-Africa,Test,46,74,10,2103,166,32.86,4544,46.28,251,13,8,6,0
Andile Phehlukwayo,South-Africa,Test,4,4,2,19,9,9.5,39,48.72,3,0,0,0,0
Dwaine Pretorius,South-Africa,Test,3,6,0,83,37,13.83,163,50.92,13,1,0,0,0
Chris Morris,South-Africa,Test,4,7,0,173,69,24.71,362,47.79,25,0,1,0,0
Quinton de Kock,South-Africa,Test,49,82,5,2962,129,38.47,4166,71.1,380,25,21,5,0
Imran Tahir,South-Africa,Test,20,23,9,130,29,9.29,235,55.32,18,1,0,0,0
Kagiso Rabada,South-Africa,Test,43,64,11,606,34,11.43,1320,45.91,87,7,0,0,0
Lungi Ngidi,South-Africa,Test,7,11,6,31,14,6.2,68,45.59,6,0,0,0,0
Tabraiz Shamsi,South-Africa,Test,2,4,3,20,18,20,48,41.67,2,0,0,0,0
Beuran Hendricks,South-Africa,Test,1,2,1,9,5,9,18,50,1,0,0,0,0
Craig Ervine,Zimbabwe,Test,18,36,2,1208,160,35.53,2455,49.21,139,11,4,3,0
