Player,Team,Type,M,Inn,B,Runs,Wkts,BBI,BBM,Econ,Avg,SR,5W,10W
Lungi Ngidi,South-Africa,T20,16,16,320,477,28,Apr-19,Apr-19,8.94,17.04,11.43,0,0
Tabraiz Shamsi,South-Africa,T20,25,25,546,699,21,Mar-19,Mar-19,7.68,33.29,26,0,0
Beuran Hendricks,South-Africa,T20,14,14,289,451,20,Apr-14,Apr-14,9.36,22.55,14.45,0,0
Craig Ervine,Zimbabwe,T20,25,0,0,0,0,0,0,0,0,0,0,0
Hamilton Masakadza,Zimbabwe,T20,65,9,72,113,2,01-Apr,01-Apr,9.42,56.5,36,0,0
Sikandar Raza,Zimbabwe,T20,36,26,336,464,12,02-Jul,02-Jul,8.29,38.67,28,0,0
Sean Williams,Zimbabwe,T20,42,41,792,959,32,Mar-15,Mar-15,7.27,29.97,24.75,0,0
Solomon Mire,Zimbabwe,T20,9,5,72,115,1,Jan-15,Jan-15,9.58,115,72,0,0
Brian Chari,Zimbabwe,T20,3,0,0,0,0,0,0,0,0,0,0,0
Timycen Maruma,Zimbabwe,T20,13,2,18,20,1,01-Aug,01-Aug,6.67,20,18,0,0
Elton Chigumbura,Zimbabwe,T20,56,20,258,404,14,Apr-31,Apr-31,9.4,28.86,18.43,0,0
Regis Chakabva,Zimbabwe,T20,12,0,0,0,0,0,0,0,0,0,0,0
Brendan Taylor,Zimbabwe,T20,42,2,30,17,1,Jan-16,Jan-16,3.4,17,30,0,0
Peter Moor,Zimbabwe,T20,21,0,0,0,0,0,0,0,0,0,0,0
Tendai Chatara,Zimbabwe,T20,22,22,468,616,26,Mar-20,Mar-20,7.9,23.69,18,0,0
Donald Tiripano,Zimbabwe,T20,13,13,255,352,11,Mar-20,Mar-20,8.28,32,23.18,0,0
Chris Mpofu,Zimbabwe,T20,32,32,694,1036,33,Apr-30,Apr-30,8.96,31.39,21.03,0,0
Kyle Jarvis,Zimbabwe,T20,21,21,424,630,26,Mar-15,Mar-15,8.92,24.23,16.31,0,0
Brandon Mavuta,Zimbabwe,T20,3,3,72,81,2,Jan-19,Jan-19,6.75,40.5,36,0,0
Martin Guptill,New-Zealand,T20,94,1,6,11,0,0/11,0/11,11,0,0,0,0
Ross Taylor,New-Zealand,T20,102,0,0,0,0,0,0,0,0,0,0,0
Kane Williamson,New-Zealand,T20,62,12,118,164,6,Feb-16,Feb-16,8.34,27.33,19.67,0,0
Henry Nicholls,New-Zealand,T20,5,0,0,0,0,0,0,0,0,0,0,0
James Neesham,New-Zealand,T20,24,20,277,414,16,Mar-16,Mar-16,8.97,25.88,17.31,0,0
Colin de Grandhomme,New-Zealand,T20,36,19,299,445,11,Feb-22,Feb-22,8.93,40.45,27.18,0,0
Colin Munro,New-Zealand,T20,65,12,118,186,4,01-Dec,01-Dec,9.46,46.5,29.5,0,0
